Rank,Company Name,Number of Employees,"Change in 
Rank","Revenues
($millions)","Revenue
Change","Profits
($millions)","Profit 
Change","Assets
($millions)","Market Value 
As of 3/31/22 ($m)"
128,Broadcom,"20,000",-7,"$27,450",14.90%,"$6,736.00",127.60%,"$75,570","$257,087"
129,Gilead Sciences,"14,400",-13,"$27,305",10.60%,"$6,225.00",4961.00%,"$67,952","$74,657"
130,PBF Energy,"3,418",73,"$27,253",80.30%,$231.00,-,"$11,641","$2,933"
131,Lennar,"10,753",-2,"$27,131",20.60%,"$4,430.10",79.70%,"$33,208","$23,413"
132,United Natural Foods,"28,300",-25,"$26,992",0.90%,$149.00,-,"$7,525","$2,409"
133,NRG Energy,"6,635",200,"$26,989",196.80%,"$2,187.00",328.80%,"$23,182","$9,289"
134,Nvidia,"22,473",50,"$26,914",61.40%,"$9,752.00",125.10%,"$44,187","$684,879"
135,Occidental Petroleum,"11,678",48,"$26,772",60.50%,"$2,322.00",-,"$75,036","$53,160"
136,Salesforce,"73,541",1,"$26,492",24.70%,"$1,444.00",-64.50%,"$95,209","$210,197"
137,Dollar Tree,"136,226",-26,"$26,321",3.20%,"$1,327.90",-1.00%,"$21,722","$36,051"
138,KKR,"3,238",178,"$26,141",171.50%,"$4,666.50",133.00%,"$264,285","$51,543"
139,Kraft Heinz,"36,000",-29,"$26,042",-0.50%,"$1,012.00",184.30%,"$93,394","$48,249"
140,Amgen,"24,200",-28,"$25,979",2.20%,"$5,893.00",-18.90%,"$61,165","$134,701"
141,AutoNation,"22,200",4,"$25,844",26.70%,"$1,373.00",259.80%,"$8,944","$6,111"
142,Penske Automotive Group,"24,797",1,"$25,555",25.00%,"$1,187.80",118.50%,"$13,465","$7,197"
143,PayPal Holdings,"30,900",-9,"$25,371",18.30%,"$4,169.00",-0.80%,"$75,803","$134,733"
144,Macy's,"88,857",20,"$25,292",39.80%,"$1,430.00",-,"$17,590","$7,123"
145,Duke Energy,"27,605",-19,"$24,677",5.20%,"$3,908.00",183.80%,"$169,587","$85,967"
146,United Airlines Holdings,"84,100",54,"$24,634",60.40%,"-$1,964.00",-,"$68,175","$15,050"
147,Visa,"21,500",-14,"$24,105",10.30%,"$12,311.00",13.30%,"$82,896","$480,023"
148,Rite Aid,"50,000",-16,"$24,043",9.60%,-$90.90,-,"$9,335",$488
149,Cummins,"59,900",1,"$24,021",21.30%,"$2,131.00",19.10%,"$23,710","$29,141"
150,U.S. Bancorp,"68,796",-37,"$23,714",-6.00%,"$7,963.00",60.60%,"$573,284","$78,930"
151,Paccar,"28,500",8,"$23,522",25.60%,"$1,852.10",42.60%,"$29,302","$30,620"
152,McDonald's,"200,000",5,"$23,223",20.90%,"$7,545.20",59.50%,"$53,854","$183,874"
153,Southern,"27,164",-7,"$23,113",13.40%,"$2,393.00",-23.30%,"$127,534","$76,877"
154,C.H. Robinson Worldwide,"16,877",37,"$23,102",42.50%,$844.20,66.70%,"$7,028","$13,856"
155,Truist Financial,"51,462",-36,"$23,064",-5.60%,"$6,440.00",43.70%,"$541,241","$75,354"
156,Applied Materials,"27,000",20,"$23,063",34.10%,"$5,888.00",62.70%,"$25,825","$116,431"
157,Freeport-McMoRan,"24,700",58,"$22,845",60.90%,"$4,306.00",618.90%,"$48,022","$72,361"
158,Lithia Motors,"21,150",73,"$22,832",74.00%,"$1,060.00",125.40%,"$11,147","$8,910"
159,Blackstone,"3,795",295,"$22,577",270.00%,"$5,857.40",460.30%,"$41,196","$88,907"
160,Hartford Financial Services Group,"18,100",-18,"$22,390",9.10%,"$2,365.00",36.20%,"$76,578","$23,816"
161,Aflac,"12,447",-30,"$22,106",-0.20%,"$4,325.00",-9.50%,"$157,542","$41,813"
162,Whirlpool,"69,000",-8,"$21,985",13.00%,"$1,783.00",64.90%,"$20,285","$10,101"
163,Union Pacific,"32,124",-10,"$21,804",11.60%,"$6,523.00",21.90%,"$63,525","$171,682"
164,International Paper,"38,200",-23,"$21,780",5.80%,"$1,752.00",263.50%,"$25,243","$17,301"
165,Altria Group,"6,000",-27,"$21,111",1.30%,"$2,475.00",-44.60%,"$39,523","$94,952"
166,CDW,"13,900",-5,"$20,821",12.70%,$988.60,25.40%,"$13,199","$24,140"
167,ManpowerGroup,"30,000",-2,"$20,724",15.10%,$382.40,1506.70%,"$9,829","$5,026"
168,PG&E,"26,000",-8,"$20,642",11.80%,-$102.00,-,"$103,327","$29,434"
169,Carrier Global,"58,000",2,"$20,613",18.10%,"$1,664.00",-16.00%,"$26,172","$39,127"
170,Baker Hughes,"54,000",-30,"$20,502",-1.00%,-$219.00,-,"$35,308","$37,410"
171,Cleveland-Cliffs,"26,000",330,"$20,444",281.80%,"$2,988.00",-,"$18,975","$16,891"
172,United States Steel,"24,540",138,"$20,275",108.10%,"$4,174.00",-,"$17,816","$9,832"
173,Becton Dickinson,"75,000",4,"$20,248",18.30%,"$2,092.00",139.40%,"$53,866","$75,749"
174,CarMax,"26,889",-38,"$20,092",-6.20%,$746.90,-15.90%,"$21,542","$15,599"
175,Sherwin-Williams,"61,626",-13,"$19,945",8.60%,"$1,864.40",-8.20%,"$20,667","$65,038"
176,Builders FirstSource,"28,000",174,"$19,894",132.40%,"$1,725.40",450.30%,"$10,714","$11,409"
177,Marsh & McLennan,"83,000",-2,"$19,820",15.10%,"$3,143.00",55.90%,"$34,388","$85,681"
178,PNC Financial Services Group,"58,547",-58,"$19,698",-18.10%,"$5,674.00",-24.50%,"$557,191","$77,203"
179,Lumen Technologies,"36,000",-40,"$19,687",-4.90%,"$2,033.00",-,"$57,993","$11,533"
180,Avnet,"14,500",-12,"$19,535",10.80%,$193.10,-,"$8,925","$4,017"
181,Tenet Healthcare,"88,968",-14,"$19,485",10.50%,$914.00,129.10%,"$27,579","$9,388"
182,Kimberly-Clark,"45,000",-24,"$19,440",1.60%,"$1,814.00",-22.90%,"$17,837","$41,496"
183,Kohl's,"67,000",12,"$19,433",21.80%,$938.00,-,"$15,054","$7,775"
184,BlackRock,"18,400",8,"$19,374",19.60%,"$5,901.00",19.60%,"$152,648","$116,186"
185,Jones Lang LaSalle,"98,200",1,"$19,367",16.70%,$961.60,138.90%,"$15,505","$11,946"
186,Lear,"160,100",-7,"$19,263",13.00%,$373.90,135.90%,"$13,352","$8,513"
187,Lincoln National,"10,848",-15,"$19,230",10.30%,"$1,405.00",181.60%,"$387,301","$11,272"
188,Charles Schwab,"33,400",63,"$18,996",56.90%,"$5,855.00",77.50%,"$667,270","$159,676"
189,Ross Stores,"100,000",53,"$18,916",50.90%,"$1,722.60",1917.50%,"$13,640","$31,742"
190,Mastercard,"24,000",11,"$18,884",23.40%,"$8,687.00",35.50%,"$37,669","$349,331"
191,Genuine Parts,"52,000",-18,"$18,871",8.50%,$898.80,-,"$14,352","$17,888"
192,WestRock,"49,900",-22,"$18,746",6.60%,$838.30,-,"$29,254","$12,379"
193,EOG Resources,"2,800",92,"$18,642",69.00%,"$4,664.00",-,"$38,236","$69,796"
194,Cognizant Technology Solutions,"330,600",-9,"$18,507",11.10%,"$2,137.00",53.50%,"$17,852","$47,035"
195,Moderna,"2,700",-,"$18,471",2199.10%,"$12,202.00",-,"$24,669","$69,424"
196,Steel Dynamics,"10,640",123,"$18,409",91.70%,"$3,214.10",483.50%,"$12,531","$15,812"
197,HF Sinclair,"4,208",82,"$18,389",64.40%,$558.30,-,"$12,917","$8,896"
198,Texas Instruments,"31,000",12,"$18,344",26.90%,"$7,769.00",38.90%,"$24,676","$169,330"
199,Emerson Electric,"86,700",-18,"$18,236",8.60%,"$2,303.00",17.20%,"$24,715","$58,242"
200,WESCO International,"18,000",45,"$18,218",47.80%,$465.40,362.80%,"$12,618","$6,599"
201,General Mills,"35,000",-32,"$18,127",2.80%,"$2,339.80",7.30%,"$31,842","$40,782"
202,Tenneco,"71,000",-3,"$18,035",17.30%,$35.00,-,"$11,622","$1,523"
203,Waste Management,"48,500",-1,"$17,931",17.80%,"$1,816.00",21.40%,"$29,097","$65,803"
204,Viatris,"37,000",50,"$17,886",49.70%,"-$1,269.10",-,"$54,843","$13,160"
205,DISH Network,"14,500",-8,"$17,881",15.40%,"$2,410.60",36.80%,"$48,002","$16,743"
206,L3Harris Technologies,"47,000",-43,"$17,814",-2.10%,"$1,846.00",65.00%,"$34,709","$47,970"
207,DXC Technology,"134,000",-55,"$17,729",-9.40%,-$149.00,-,"$22,038","$7,977"
208,Block,"8,521",115,"$17,661",86.00%,$166.30,-22.00%,"$13,926","$78,656"
209,Goodyear Tire & Rubber,"72,000",37,"$17,478",41.90%,$764.00,-,"$21,402","$4,029"
210,Uber Technologies,"29,300",71,"$17,455",56.70%,-$496.00,-,"$38,774","$69,753"
211,Colgate-Palmolive,"33,800",-23,"$17,421",5.80%,"$2,166.00",-19.60%,"$15,040","$63,742"
212,Stanley Black & Decker,"71,300",-3,"$17,253",18.70%,"$1,689.20",36.90%,"$28,180","$22,843"
213,DuPont,"28,000",-69,"$17,160",-15.90%,"$6,467.00",-,"$45,707","$37,740"
214,Stryker,"46,000",-2,"$17,108",19.20%,"$1,994.00",24.70%,"$34,631","$100,978"
215,NextEra Energy,"15,000",-49,"$17,069",-5.20%,"$3,573.00",22.40%,"$140,912","$166,264"
216,Targa Resources,"2,430",148,"$16,950",105.20%,$71.20,-,"$15,208","$17,244"
217,Western Digital,"65,600",-35,"$16,922",1.10%,$821.00,-,"$26,132","$15,536"
218,PPG Industries,"49,300",2,"$16,802",21.50%,"$1,439.00",35.90%,"$21,351","$30,952"
219,American Electric Power,"16,688",-15,"$16,792",12.60%,"$2,488.10",13.10%,"$87,669","$50,339"
220,Gap,"97,000",1,"$16,670",20.80%,$256.00,-,"$12,761","$5,207"
221,BJ's Wholesale Club,"34,000",-23,"$16,667",8.00%,$426.70,1.30%,"$5,669","$9,147"
222,Reinsurance Group of America,"3,500",-15,"$16,658",14.10%,$617.00,48.70%,"$92,175","$7,355"
223,Kinder Morgan,"10,529",39,"$16,610",42.00%,"$1,784.00",1399.20%,"$70,416","$42,878"
224,Oneok,"2,847",127,"$16,540",93.60%,"$1,499.70",144.70%,"$23,622","$31,516"
225,Expeditors Intl. of Washington,"19,070",74,"$16,524",72.40%,"$1,415.50",103.30%,"$7,610","$17,269"
226,Advanced Micro Devices,"15,500",83,"$16,434",68.30%,"$3,162.00",27.00%,"$12,419","$177,936"
227,Fiserv,"44,000",-22,"$16,226",9.30%,"$1,334.00",39.20%,"$76,249","$66,133"
228,Estée Lauder,"53,320",-15,"$16,215",13.40%,"$2,870.00",319.60%,"$21,971","$97,672"
229,Bank of New York Mellon,"49,100",-49,"$16,158",-4.60%,"$3,759.00",3.90%,"$444,438","$40,057"
230,Laboratory Corp. of America,"71,725",-12,"$16,121",15.30%,"$2,377.30",52.80%,"$20,385","$24,626"
231,Regeneron Pharmaceuticals,"10,368",123,"$16,072",89.10%,"$8,075.30",129.90%,"$25,435","$75,806"
232,Land O'Lakes,"9,000",-13,"$15,916",14.10%,$287.40,8.50%,"$9,560",-
233,Cheniere Energy,"1,550",95,"$15,864",69.50%,"-$2,343.00",-,"$39,258","$35,272"
234,Southwest Airlines,"55,093",102,"$15,790",74.50%,$977.00,-,"$36,320","$27,129"
235,Adobe,"25,988",-1,"$15,785",22.70%,"$4,822.00",-8.30%,"$27,241","$215,281"
236,Synchrony Financial,"18,000",-49,"$15,752",-4.40%,"$4,221.00",204.80%,"$95,748","$18,146"
237,Corteva,"21,000",-23,"$15,655",10.10%,"$1,759.00",158.30%,"$42,344","$41,775"
238,Fidelity National Financial,"28,290",50,"$15,643",45.10%,"$2,422.00",69.70%,"$60,690","$13,850"
239,DTE Energy,"10,300",11,"$15,369",26.20%,$907.00,-33.70%,"$39,719","$25,615"
240,Murphy USA,"10,430",82,"$15,319",61.20%,$396.90,2.80%,"$4,048","$4,889"
241,Halliburton,"40,000",-30,"$15,295",5.90%,"$1,457.00",-,"$22,321","$34,029"
242,Automatic Data Processing,"56,000",-34,"$15,005",2.80%,"$2,598.50",5.40%,"$48,773","$95,577"
243,Edison International,"13,003",-17,"$14,905",9.80%,$759.00,2.70%,"$74,745","$26,694"
244,BorgWarner,"49,300",51,"$14,838",46.00%,$537.00,7.40%,"$16,575","$9,335"
245,Nordstrom,"72,000",44,"$14,789",38.00%,$178.00,-,"$8,869","$4,321"
246,Loews,"10,340",-7,"$14,657",16.50%,"$1,578.00",-,"$81,626","$15,971"
247,Guardian Life Ins. Co. of America,"9,150",-20,"$14,648",8.00%,$288.80,1128.50%,"$90,420",-
248,Pioneer Natural Resources,"1,932",180,"$14,643",119.00%,"$2,118.00",-,"$36,811","$60,728"
249,AutoZone,"85,050",-11,"$14,630",15.80%,"$2,170.30",25.20%,"$14,516","$40,583"
250,Lam Research,"14,100",54,"$14,626",45.60%,"$3,908.50",73.60%,"$15,892","$74,997"
251,American Family Insurance Group,"13,590",-19,"$14,612",11.80%,$734.50,82.20%,"$36,316",-
252,Illinois Tool Works,"45,000",-12,"$14,455",15.00%,"$2,694.00",27.70%,"$16,077","$65,312"
253,Parker-Hannifin,"54,640",-30,"$14,348",4.80%,"$1,746.10",44.70%,"$20,341","$36,457"
254,Otis Worldwide,"70,000",-18,"$14,298",12.10%,"$1,246.00",37.50%,"$12,279","$32,701"
255,Omnicom Group,"71,700",-26,"$14,289",8.50%,"$1,407.80",48.90%,"$28,422","$17,566"
256,Principal Financial,"18,600",-50,"$14,263",-3.20%,"$1,710.60",22.60%,"$304,657","$19,177"
257,Dominion Energy,"17,100",-64,"$14,218",-11.80%,"$3,288.00",-,"$99,590","$68,883"
258,Kellogg,"31,000",-36,"$14,181",3.00%,"$1,488.00",18.90%,"$18,178","$21,890"
259,Fluor,"40,582",-63,"$14,157",-10.90%,-$440.20,-,"$7,280","$4,052"
260,AECOM,"51,000",-71,"$14,112",-13.90%,$173.20,-,"$11,734","$10,857"
261,Reliance Steel & Aluminum,"13,950",82,"$14,093",59.90%,"$1,413.00",282.80%,"$9,536","$11,314"
262,Jacobs Engineering Group,"53,500",-37,"$14,093",3.80%,$477.00,-3.00%,"$14,633","$17,807"
263,Corning,"61,200",14,"$14,082",24.60%,"$1,906.00",272.30%,"$30,154","$31,213"
264,Farmers Insurance Exchange,"11,787",-8,"$14,055",18.40%,-$366.80,-,"$21,741",-
265,Qurate Retail,"26,745",-49,"$14,044",-0.90%,$340.00,-71.80%,"$16,249","$1,807"
266,Pacific Life,"3,861",37,"$13,936",38.50%,"$1,102.00",-,"$209,486",-
